name	domain	country
University of Buea 	http://www.ubuea.net/	CM
Université de Mascara 	http://www.univ-mascara.dz/	DZ
University of Gondar (College of Medical Sciences) 	http://www.uog.edu.et/	ET
Université Kasdi Merbah Ouargla 	http://www.univ-ouargla.dz/	DZ
Lagos Business School Pan African University 	http://www.lbs.edu.ng/	NG
Université Larbi Ben Mhidi de Oum El Bouaghi 	http://www.univ-oeb.dz/	DZ
Federal University of Technology Minna 	http://www.futminna.edu.ng/	NG
Université de la Manouba 	http://www.uma.rnu.tn/	TN
(3) Université Sultan Moulay Slimane Faculté des Sciences et Techniques de Beni-Mellal 	http://www.fstbm.ac.ma/	MA
Université Centrale Privee d’Administration des Affaires et de Technologie 	http://www.universitecentrale.net/	TN
Université Taher Moulay de Saida 	http://www.univ-saida.dz/	DZ
October 6 University 	http://www.o6u.edu.eg/	EG
United States International University 	http://www.usiu.ac.ke/	KE
Université Moulay Ismail Meknès 	http://www.umi.ac.ma/	MA
Ashesi University 	http://www.ashesi.edu.gh/	GH
(3) Université Mohammed V Souissi Faculté de Medécine & Pharmacie 	http://www.medramo.ac.ma/	MA
(3) University of Malawi College of Medicine 	http://www.medcol.mw/	MW
Nnamdi Azikiwe University 	http://www.unizik.edu.ng/	NG
Pharos University in Alexandria 	http://www.pua.edu.eg/	EG
Université de Douala 	http://www.univ-douala.com/	CM
Monash University South Africa 	http://www.monash.ac.za/	ZA
(1) Université de Carthage (7 de Novembre) 	http://www.univ7nc.rnu.tn/	TN
Hawassa University (Debub University) 	http://www.hu.edu.et/	ET
Université Lumiere de Bujumbura 	http://www.ulbu.bi/	BI
Federal University of Petroleum Resources Effurun 	http://www.fupre.edu.ng/	NG
MISR International University 	http://www.miuegypt.edu.eg/	EG
(3) Université Mohammed V Souissi École Nationale Supérieure d'Informatique et d'Analyse des Systemes ENSIAS 	http://www.ensias.ma/	MA
MISR University for Science & Technology 	http://www.must.edu.eg/	EG
University of Technology Mauritius 	http://www.utm.ac.mu/	MU
(3) Université Abdelmalek Essaadi École Nationale de Commerce et de Gestion Tanger 	http://www.encgt.ma/	MA
(3) Université Mohammed V Agdal Institut Scientifique Rabat 	http://www.israbat.ac.ma/	MA
University of Dodoma 	http://www.udom.ac.tz/	TZ
Université des Sciences Islamiques Emir Abdelkader 	http://www.univ-emir.dz/	DZ
Université Ibnou Zohr d'Agadir 	http://www.uiz.ac.ma/	MA
Bahir Dar University 	http://www.bdu.edu.et/	ET
University of Maiduguri 	http://www.unimaid.edu.ng/	NG
École Supérieure de Commerce et des Affaires ESCA 	http://www.esca.ma/	MA
Delta University for Science & Technology 	http://www.deltauniv.edu.eg/	EG
Kilimanjaro Christian Medical College 	http://www.kcmc.ac.tz/	TZ
Institut des Hautes Études de Management HEM 	http://hem.ac.ma/	MA
Haramaya University (Alemaya) 	http://www.haramaya.edu.et/	ET
École Nationale de l'Industrie Minerale 	http://www.enim.ac.ma/	MA
École Nationale d'Ingénieurs de Tunis 	http://www.enit.rnu.tn/	TN
Centre de Formation des Inspecteurs de l'Enseignement 	http://www.cse.ma/	MA
École Nationale d'Ingénieurs de Sfax 	http://www.enis.rnu.tn/	TN
Kwara State University 	http://www.kwasu.edu.ng/	NG
Universidade Católica de Moçambique 	http://www.ucm.ac.mz/	MZ
Université de Lomé 	http://www.univ-lome.tg/	TG
Babcock University 	http://www.babcockuni.edu.ng/	NG
Botswana College of Agriculture 	http://www.bca.bw/	BW
Adekunle Ajasin University 	http://www.adekunleajasinuniversity.edu.ng/	NG
Université de Gabes 	http://www.univgb.rnu.tn/	TN
École Hassania des Travaux Publics 	http://www.ehtp.ac.ma/	MA
Université Française d'Egypte 	http://www.ufe.edu.eg/	EG
Lagos State University 	http://www.lasu.edu.ng/	NG
Catholic University of Eastern Africa 	http://www.cuea.edu/	KE
Universidade de Cabo Verde (ex-ISE) 	http://www.unicv.edu.cv/	CV
(3) Université Cadi Ayyad École Nationale des Sciences Appliquées Marrakech 	http://www.ensa.ac.ma/	MA
(3) Université Abdelmalek Essaadi Faculté des Sciences et Techniques de Tanger 	http://www.fstt.ac.ma/	MA
International University of Africa 	http://www.iua.edu.sd/	SD
Kampala International University 	http://kiu.ac.ug/	UG
Universidade Católica de Angola 	http://www.ucan.edu/	AO
Redeemer's University 	http://www.run.edu.ng/	NG
Karary University 	http://www.karary.edu.sd/	SD
East Africa School of Management 	http://www.easm.ac.ke/	KE
(3) Université Hassan II Ain Chock Faculté des Sciences Ain Chock Casablanca 	http://www.fsac.ac.ma/	MA
Kenya Methodist University 	http://www.kemu.ac.ke/	KE
Universidade Pedagógica 	http://www.up.ac.mz/	MZ
(3) Université Sidi Mohammed Ben Abdellah Faculté de Medécine et de Pharmacie de Fes 	http://www.fmp-usmba.ac.ma/	MA
École Supérieure Multinationale des Telecommunications 	http://www.esmt.sn/	SN
(3) Université Abdelmalek Essaadi École Nationale des Sciences Appliquées Tanger 	http://www.ensat.ac.ma/	MA
Mzumbe University 	http://www.mzumbe.ac.tz/	TZ
Military Technical College 	http://www.mtc.edu.eg/	EG
(1) École des Sciences de l'Information 	http://www.esi.ac.ma/	MA
École Supérieure Privee d'Ingenierie et de Technologies 	http://www.esprit.ens.tn/	TN
École Supérieure des Industries du Textile et de l'Habillement 	http://www.esith.ac.ma/	MA
Université de Lubumbashi 	http://www.unilu.ac.cd/	CD
Daystar University 	http://www.daystar.ac.ke/	KE
École Militaire Polytechnique 	http://www.emp.edu.dz/	DZ
Federal University Oye Ekiti Ekiti State 	http://www.fuoye.edu.ng/	NG
Université Polytechnique de Bobo-Dioulasso 	http://www.univ-bobo.bf/	BF
International School of Kenya 	http://www.isk.ac.ke/	KE
